artist_name,main_genre,genre_source
JAYLIEN,Person,musicbrainz
JAŸ-Z,pop,musicbrainz
JID,hip hop,musicbrainz
JIIN,unknown,none
JODYE KROSS,unknown,none
JYJ,k-pop,musicbrainz
Jaaavee!?,unknown,none
Jack Harlow,hip hop,musicbrainz
Jackson Browne,rock,musicbrainz
Jacob Collier,electronic,musicbrainz
Jadakiss,rap,musicbrainz
Jade Castrinos,Person,musicbrainz
James Blake,electronic,musicbrainz
James Fadiman,unknown,none
James Fauntleroy,Person,musicbrainz
Jamie Foxx,soul,musicbrainz
Jana Hunter,singer-songwriter,musicbrainz
Janet Byrne Neiman,unknown,none
Janet Jackson,pop,musicbrainz
Jay 305,Person,musicbrainz
Jay Electronica,abstract hip hop,musicbrainz
Jay Lavita,unknown,none
Jean Dawson,Person,musicbrainz
Jeezy,rap,musicbrainz
Jeff Bhasker,Person,musicbrainz
Jeff Parker,jazz,musicbrainz
Jeff White,folk,musicbrainz
Jenny Holzer,Person,musicbrainz
Jeremih,soul,musicbrainz
Jesca Hoop,alternative rock,musicbrainz
Jessie Reyez,swing,musicbrainz
Jey One,Person,musicbrainz
Jhené Aiko,r&b,musicbrainz
Jim James,indie rock,musicbrainz
Jim Jones,alliteration,musicbrainz
Jim Mangan,unknown,none
Jim-E Stack,electronic,musicbrainz
Jimmy Fallon,comedy,musicbrainz
Jimmy Kimmel,Person,musicbrainz
Jjared,Person,musicbrainz
Joan Osborne,rock,musicbrainz
Joe Energy Bortham,unknown,none
Joe Minter,unknown,none
Joe Young,blues,musicbrainz
John C. Reilly,Person,musicbrainz
John Hiatt,folk,musicbrainz
John Legend,american,musicbrainz
John Mayer,rock,musicbrainz
John Moreland,singer-songwriter,musicbrainz
John Williams,soundtrack,musicbrainz
Johnny Rain,Person,musicbrainz
JoiStarr,Person,musicbrainz
Jon Caramanica,unknown,none
Jonathan Cheban,unknown,none
Jonathan the bum,unknown,none
Joni Mitchell,rock,musicbrainz
Jonnie Malone,unknown,none
Jordan Garrett,Person,musicbrainz
Jor’dan Armstrong,Person,musicbrainz
Jozzy,Person,musicbrainz
Juice WRLD,rap,musicbrainz
Juicy J,hip hop,musicbrainz
Julianna Barwick,new age,musicbrainz
Julie Miller,singer-songwriter,musicbrainz
Juss,romantic,musicbrainz
Justice,rock,musicbrainz
Justin Bieber,pop,musicbrainz
Justin Saunders,Person,musicbrainz
Justin Vernon,indie folk,musicbrainz
Justine Skye,alternative r&b,musicbrainz
K. Forest,Person,musicbrainz
KB,christian rap,musicbrainz
KINFU,Person,musicbrainz
KIRBY,ambient,musicbrainz
KOHH,Person,musicbrainz
KXNG Crooked,hip hop,musicbrainz
Kacey Musgraves,easy listening,musicbrainz
Kacy Hill,indie pop,musicbrainz
Kali Uchis,neo soul,musicbrainz
Kamaiyah,trap,musicbrainz
Kanye West,Person,musicbrainz
Kanyes #1 fan,unknown,none
Karen O,Person,musicbrainz
Kaskade,electronic,musicbrainz
Kassa Overall,rap,musicbrainz
Kathryn Tickell,production music,musicbrainz
Kathy Brown,soul,musicbrainz
KayCyy,Person,musicbrainz
Keavan Yazdani,unknown,none
Kehlani,pop,musicbrainz
Keith Urban,country,musicbrainz
Kelly Price,hip hop rnb and dance hall,musicbrainz
Kendrick Lamar,pop,musicbrainz
Kenny Beats,unknown,none
Kenny G,jazz,musicbrainz
Kent M$ney,Person,musicbrainz
Kentucky Thunder,unknown,none
Keri Hilson,pop,musicbrainz
Kesha,electronic,musicbrainz
Keyshia Cole,hip hop,musicbrainz
Kid Cudi,rap,musicbrainz
Kid Sister,hip hop,musicbrainz
Kidz in the Hall,hip hop rnb and dance hall,musicbrainz
Kim Burrell,Person,musicbrainz
Kim Dotcom,electronic,musicbrainz
Kim Kardashian,Person,musicbrainz
King Chip,unknown,none
King Combs,Person,musicbrainz
King David,Person,musicbrainz
King Gizzard & The Lizard Wizard,progressive rock,musicbrainz
King Krule,electronic,musicbrainz
King Louie,hip hop,musicbrainz
Kings of Leon,rock,musicbrainz
Kirk Franklin,gospel,musicbrainz
Kirko Bangz,rap,musicbrainz
Kodak Black,rap,musicbrainz
Kool A.D.,Person,musicbrainz
Kosine,Person,musicbrainz
Kryptik,horrorcore,musicbrainz
Kxhris,unknown,none
L.Dre,hip hop,musicbrainz
LE SINNER,Person,musicbrainz
LLR HD,unknown,none
Labrinth,hip-hop,musicbrainz
Lamont Lawrence,unknown,none
Lana Del Rey,electronic,musicbrainz
Laurence Courtney,Person,musicbrainz
Leandro Carnarios,unknown,none
Lecrae,hip-hop,musicbrainz
Liam Neeson,Person,musicbrainz
Lianne La Havas,r&b,musicbrainz
Lightning Bolt,math rock,musicbrainz
Lil Animus,unknown,none
Lil B,rap,musicbrainz
Lil Baby,rap,musicbrainz
Lil Blessin,hip hop,musicbrainz
Lil Dicky,comedy hip hop,musicbrainz
Lil Duke,hip hop,musicbrainz
Lil Durk,rap,musicbrainz
Lil Nas X,hip hop,musicbrainz
Lil Pump,hip hop,musicbrainz
Lil Skydie,unknown,none
Lil Uzi Vert,hip hop,musicbrainz
