artist_name,main_genre,genre_source
.idk.,hip hop,musicbrainz
070 Shake,alternative hip hop,musicbrainz
2 Chainz,house,musicbrainz
21 Savage,hip hop,musicbrainz
4n Way,Person,musicbrainz
646yf4t,Person,musicbrainz
6ix9ine,drill,musicbrainz
88-Keys,hip hop,musicbrainz
93PUNX,Group,musicbrainz
A Tribe Called Quest,american,musicbrainz
A$AP Ferg,unknown,none
A$AP Mob,east coast hip hop,musicbrainz
A$AP Rocky,rap,musicbrainz
ABRA,alternative r&b,musicbrainz
AFROJACK,electronic,musicbrainz
AWGE,Group,musicbrainz
Aaron Behrens,Person,musicbrainz
Aaron Dessner,ingénieur du son,musicbrainz
Aaron Rice,Person,musicbrainz
Aasim,Person,musicbrainz
Abstract Mindstate,Group,musicbrainz
Adam Levine,rock,musicbrainz
Adam Melchor,contemporary folk,musicbrainz
Adent,unknown,none
Aero Flynn,Person,musicbrainz
Agent Sasco (Assassin),unknown,none
Aj that block,unknown,none
Al Be Back,unknown,none
Al Green,soul,musicbrainz
Alabaster dePlume,Person,musicbrainz
Alex Ebert,unknown,none
Alison Krauss,country,musicbrainz
Allan Kingdom,Person,musicbrainz
Aloe Blacc,soul,musicbrainz
"Alurgle, thrugle, burgle",unknown,none
Amaarae,afrobeats,musicbrainz
Ambré,alternative r&b,musicbrainz
Amy Wallace,unknown,none
Anderson .Paak,rap,musicbrainz
André 3000,hip hop,musicbrainz
Angel Bat Dawid,Person,musicbrainz
Anna (USA),unknown,none
Anna of the North,pop,musicbrainz
Annbjørg Lien,Person,musicbrainz
Annie Schindel,Person,musicbrainz
Ant Clemons,contemporary r&b,musicbrainz
Anuna,folk,musicbrainz
Apple Music,unknown,none
Ariana Grande,pop,musicbrainz
Artists For Haiti,michael jackson,musicbrainz
Ashe,pop,musicbrainz
Ashton Travis,unknown,none
Audio Push,hip hop,musicbrainz
Audrey Hobert,pop,musicbrainz
Auntie Fee,unknown,none
Azealia Banks,dance,musicbrainz
B.o.B,rock,musicbrainz
BADBADNOTGOOD,rap,musicbrainz
BANKS,rap,musicbrainz
BBY GOYARD,Person,musicbrainz
BET,latvian,musicbrainz
BJ the Chicago Kid,rap,musicbrainz
BOOTS,Person,musicbrainz
BOYS LIKE GIRLS,pop,musicbrainz
BROCKHAMPTON,pop,musicbrainz
Baby Keem,hip hop,musicbrainz
Bad Bunny,pop,musicbrainz
Bakar,Person,musicbrainz
Bas,trap,musicbrainz
Bearface,Person,musicbrainz
Becky and the Birds,queer,musicbrainz
Belly,folk,musicbrainz
Belo Zero,hip hop,musicbrainz
Ben Goldwasser,compositeur,musicbrainz
Ben Kweller,rock,musicbrainz
Beyoncé,pop,musicbrainz
Bibi Bourelly,Person,musicbrainz
Big Red Machine,post-rock,musicbrainz
Big Sean,2020s,musicbrainz
Big Tigger,Person,musicbrainz
Billy Lemos,Person,musicbrainz
Birdflower,Person,musicbrainz
Biz Markie,hip-hop,musicbrainz
Bizhiki,Group,musicbrainz
Blac Youngsta,trap,musicbrainz
Black Cards,Group,musicbrainz
Blake Mills,rock,musicbrainz
Blood Orange,indie pop,musicbrainz
Bobby Raps,rapper,musicbrainz
Bon Iver,electronic,musicbrainz
Bonnie Raitt,rock,musicbrainz
Boyz II Men,pop,musicbrainz
Brandy,pop,musicbrainz
Brenda Fricker,Person,musicbrainz
Brenda Russell,pop,musicbrainz
Brendon Urie,panic at the disco,musicbrainz
Brent Faiyaz,soul,musicbrainz
Brian Chippendale,Person,musicbrainz
Bruce Hornsby,rock,musicbrainz
Bruce Springsteen,rock,musicbrainz
Bryson Tiller,contemporary r&b,musicbrainz
Buddy,server name,musicbrainz
Buju Banton,reggae,musicbrainz
Bump J,hip hop,musicbrainz
Bun B,rap,musicbrainz
Burna Boy,reggae,musicbrainz
Burroughs T,unknown,none
Busta Rhymes,rap,musicbrainz
Béla Fleck,bluegrass,musicbrainz
CHASE B,Person,musicbrainz
CHOPS,hip hop,musicbrainz
CJ Camerieri,Person,musicbrainz
Cailin Russo,Person,musicbrainz
Caliveli,unknown,none
Callie stokes,unknown,none
Calvin Harris,electronic,musicbrainz
Camila Cabello,pop,musicbrainz
Cam’ron,hip hop,musicbrainz
Cancer Merchant,unknown,none
Carl Thomas,r&b,musicbrainz
Carlos Núñez,Person,musicbrainz
Carly Rae Jepsen,synthpop,musicbrainz
Carolina Chocolate Drops,old-time,musicbrainz
Caroline Shaw,composer,musicbrainz
Casey Veggies,hip hop,musicbrainz
Cash Cobain,Person,musicbrainz
Cashmere Cat,alliteration,musicbrainz
Cassie,hip hop rnb and dance hall,musicbrainz
Catherine Coleman,Person,musicbrainz
Chaka Khan,funk,musicbrainz
Chamillionaire,rap,musicbrainz
Chance the Rapper,hip hop,musicbrainz
Channy Leaneagh,Person,musicbrainz
Chantal Kreviazuk,pop,musicbrainz
Charlamagne Tha God,Person,musicbrainz
Charles Wesley Godwin,country,musicbrainz
Charli xcx,trance,musicbrainz
Charlie Wilson,soul,musicbrainz
Charlotte Day Wilson,alternative r&b,musicbrainz
Chassol,Person,musicbrainz
Chavela Vargas,latin,musicbrainz
Chester Watson,Person,musicbrainz
Chief Keef,mumble rap,musicbrainz
Childish Gambino,rap,musicbrainz
Chris Brown,pop,musicbrainz
Chris Martin,Person,musicbrainz
Chris Stapleton,singer-songwriter,musicbrainz
Christina Aguilera,rock,musicbrainz
Chuck Inglish,hip hop,musicbrainz
Cid Rim,Person,musicbrainz
Clairo,pop,musicbrainz
Clara Waidley,unknown,none
Clipse,rap,musicbrainz
Colbie Caillat,folk pop,musicbrainz
Cole Davis,Person,musicbrainz
Common,hip-hop,musicbrainz
Community Lists,unknown,none
Conan O’Brien,Person,musicbrainz
Connie Mitchell,Person,musicbrainz
Consequence,hip hop,musicbrainz
Conway the Machine,unknown,none
Cordae,rap,musicbrainz
CyHi,Person,musicbrainz
DJ Clue,east coast hip hop,musicbrainz
DJ Felli Fel,hip hop rnb and dance hall,musicbrainz
DJ Hot Day,unknown,none
DJ Khaled,another one,musicbrainz
DJ Premier,boom bap,musicbrainz
DJ Snake,rap,musicbrainz
DJ Stevie J,unknown,none
DJ White Lotus,unknown,none
DJ-AudioJack,unknown,none
DP Beats,unknown,none
DRAM,hip hop,musicbrainz
DUCKWRTH,pop rap,musicbrainz
DYLNMBRY,unknown,none
DaBaby,southern hip hop,musicbrainz
Daft Punk,electronic,musicbrainz
Daithí Ó Sé,Person,musicbrainz
Dame Dash,unknown,none
Dan Reeder,Person,musicbrainz
Danger Mouse,electronic,musicbrainz
Daniel Caesar,toronto,musicbrainz
Daniel Larson,Person,musicbrainz
Danielle Haim,Person,musicbrainz
Dapurr,unknown,none
Daron Eubanks,unknown,none
Das Racist,hip hop,musicbrainz
Dave Chappelle,standup comedy,musicbrainz
David Rawlings,americana,musicbrainz
De La Soul,american,musicbrainz
DeRay Davis,Person,musicbrainz
Def Rain,unknown,none
Dem Jointz,hip hop,musicbrainz
Demegod,unknown,none
Derrick Milano,hip hop,musicbrainz
Desiigner,trap rap,musicbrainz
Deyaz,Person,musicbrainz
Diana Gordon,pop,musicbrainz
Diana Krall,pop,musicbrainz
Diddy,pop,musicbrainz
Digital Nas,Person,musicbrainz
Dijon,alternative r&b,musicbrainz
Dilated Peoples,hip hop rnb and dance hall,musicbrainz
Djo,indie rock,musicbrainz
Domo Genesis,hardcore hip hop,musicbrainz
Don Toliver,hip hop,musicbrainz
Don Williams,singer-songwriter,musicbrainz
Donnie (CAN),unknown,none
Dora Jar,indie pop,musicbrainz
Douglas Druick,unknown,none
Dr. Dog,rock,musicbrainz
Dr. Thorsten Wörmann,unknown,none
Drake,pop,musicbrainz
Dreamer Isioma,Person,musicbrainz
Dreezy,pop rap,musicbrainz
Dua Saleh,Person,musicbrainz
Dwele,soul,musicbrainz
DylanGLC,unknown,none
D’Banj,Person,musicbrainz
EST Gee,hip hop,musicbrainz
Earl Sweatshirt,rap,musicbrainz
Echo,rock,musicbrainz
Ed Sheeran,pop,musicbrainz
Edward Sharpe & The Magnetic Zeros,indie folk,musicbrainz
Eileen Ivers,folk,musicbrainz
Electric Würms,psychedelic rock,musicbrainz
Electrik Red,Group,musicbrainz
Elio e le Storie Tese,rock,musicbrainz
Ellayo,unknown,none
Ellen DeGeneres,comedy,musicbrainz
Ellie Goulding,synthpop,musicbrainz
Elly Jackson,Person,musicbrainz
Elton John,rock,musicbrainz
Elvis Costello,rock,musicbrainz
Emmylou Harris,folk,musicbrainz
Empress Of,pop,musicbrainz
EnJay (AUS),unknown,none
Entertainment Tonight,unknown,none
Entertainment Weekly,unknown,none
Erykah Badu,jazz,musicbrainz
Estelle,uk,musicbrainz
Ethan Gruska,indie folk,musicbrainz
Ethan Ross,Person,musicbrainz
Evan Clark,unknown,none
Evian Christ,Person,musicbrainz
FINNEAS,pop,musicbrainz
FKA twigs,electronic,musicbrainz
FXXXXY,Person,musicbrainz
Fairlane,Person,musicbrainz
Fall Creek Boys Choirs,unknown,none
Fall Out Boy,rock,musicbrainz
Fat Joe,hip hop,musicbrainz
Fat Money,Person,musicbrainz
Federico Aliprandi,unknown,none
Felonie Fartinez,unknown,none
Femithegirl1123,unknown,none
Fever the Ghost,Group,musicbrainz
Fivio Foreign,drill,musicbrainz
Flash Garments,unknown,none
Flock of Dimes,dream pop,musicbrainz
Florence + the Machine,rock,musicbrainz
Fonzworth Bentley,Person,musicbrainz
Fousheé,pop,musicbrainz
Foxygen,indie pop,musicbrainz
Francis and the Lights,Group,musicbrainz
Frank Ocean,pop,musicbrainz
Frank Overby,unknown,none
Franki8000,unknown,none
Frankie Laine,western,musicbrainz
Fred Hammond,gospel,musicbrainz
Freddie Gibbs,rap,musicbrainz
Free Nationals,neo soul,musicbrainz
Freeway,hip hop rnb and dance hall,musicbrainz
French Montana,hip hop,musicbrainz
Future,rap,musicbrainz
G-Eazy,hip hop,musicbrainz
GLC,hip hop,musicbrainz
GQ Magazine,unknown,none
GRAV,ambient,musicbrainz
Gabriella Rose,Person,musicbrainz
Gaidaa,Person,musicbrainz
Gail Ann Dorsey,bass guitar,musicbrainz
Gallant,electronic,musicbrainz
Gary Card,Person,musicbrainz
Gary Lightbody,alternative rock,musicbrainz
Genius Videography,unknown,none
Gesaffelstein,electronic,musicbrainz
Gibby Haynes,Person,musicbrainz
Gil Scott-Heron,rock and indie,musicbrainz
Gillian Welch,folk,musicbrainz
Gizzle,hip hop,musicbrainz
Glass Tiger,rock,musicbrainz
Go Getters,rockabilly,musicbrainz
Goats Aint Real,Person,musicbrainz
Gost Niex,unknown,none
Grace Potter,rock,musicbrainz
