track_title,album,release_year,song_id,genius_url,source_artist,target_artist,role
BACK TO ME (Quavo Reference),,,9839137,https://genius.com/Kanye-west-and-ty-dolla-sign-back-to-me-quavo-reference-lyrics,"¥$, Kanye West & Ty Dolla $ign",Quavo,featured
BACKD00R,,2025.0,11137630,https://genius.com/Playboi-carti-backd00r-lyrics,Playboi Carti,Kendrick Lamar,featured
BACKD00R,,2025.0,11137630,https://genius.com/Playboi-carti-backd00r-lyrics,Playboi Carti,Jhené Aiko,featured
BAD GUY,,2026.0,13431727,https://genius.com/Kanye-west-bad-guy-lyrics,Kanye West,CyHi,featured
BAD GUY,,2026.0,13431727,https://genius.com/Kanye-west-bad-guy-lyrics,Kanye West,Derrick Milano,featured
BAD NIGHT,,,12665842,https://genius.com/The-pastelle-collective-yedits-bad-night-lyrics,The Pastelle Collective (Yedits),Young Thug,featured
BALLIN,,,12649689,https://genius.com/The-pastelle-collective-yedits-ballin-lyrics,The Pastelle Collective (Yedits),Juicy J,featured
BBC,,2013.0,181082,https://genius.com/Jay-z-bbc-lyrics,JAŸ-Z,Nas,featured
BBC,,2013.0,181082,https://genius.com/Jay-z-bbc-lyrics,JAŸ-Z,Beyoncé,featured
BBC,,2013.0,181082,https://genius.com/Jay-z-bbc-lyrics,JAŸ-Z,Swizz Beatz,featured
BBO (Bad Bitches Only),,2018.0,3468893,https://genius.com/Migos-bbo-bad-bitches-only-lyrics,Migos,21 Savage,featured
BEAUTY AND THE BEAST [V15],,2025.0,13219291,https://genius.com/Ye-beauty-and-the-beast-v15-lyrics,Ye,Consequence,featured
BED YEEZY SEASON 5,,2017.0,3005522,https://genius.com/Kanye-west-bed-yeezy-season-5-lyrics,Kanye West,The-Dream,featured
BEG FORGIVENESS,,2024.0,9819804,https://genius.com/Kanye-west-and-ty-dolla-sign-beg-forgiveness-lyrics,"¥$, Kanye West & Ty Dolla $ign",Chris Brown,featured
BEG FORGIVENESS (Playboi Carti Version),,,12959731,https://genius.com/Kanye-west-and-ty-dolla-sign-beg-forgiveness-playboi-carti-version-lyrics,"¥$, Kanye West & Ty Dolla $ign",Playboi Carti,featured
